Date,Open,High,Low,Close,Adj Close,Volume
18-03-2019,2043,2064.600098,2011,2022.800049,1841.811279,2349915
19-03-2019,2030,2030,1995.099976,2022.800049,1841.811279,2373993
20-03-2019,2028,2044.800049,2000,2015.050049,1834.754639,3091165
22-03-2019,2015,2016,1983.300049,2005.650024,1826.195801,3148149
25-03-2019,2007.800049,2007.800049,1977.199951,1984.25,1806.710327,2429205
26-03-2019,1984,1994.949951,1958.050049,1982.650024,1805.253662,2316539
27-03-2019,1994,1998,1961,1967.900024,1791.823242,2266166
28-03-2019,1980,2014.599976,1972.800049,2000.300049,1821.324463,4054489
01-04-2019,2010,2039.949951,2008.25,2031.650024,1849.869507,2095740
02-04-2019,2037.099976,2086,2037,2079.300049,1893.255615,3719663
03-04-2019,2085,2089.600098,2058.100098,2079.300049,1893.255615,2939886
04-04-2019,2078.149902,2079.699951,2007.400024,2014.5,1834.253662,4397518
05-04-2019,2028.650024,2054.399902,2018.800049,2048.300049,1865.029541,3152103
08-04-2019,2059,2075,2032.699951,2070.75,1885.470825,2194294
09-04-2019,2070,2098,2057.649902,2091.5,1904.364136,2690970
10-04-2019,2083,2085.5,2036,2040.25,1857.699829,3313062
11-04-2019,2045,2055,2013.650024,2019.5,1838.806396,3422442
12-04-2019,2038,2039,2007,2014.5,1834.253662,3198471
15-04-2019,2070,2119.800049,2041,2113.300049,1924.213867,9189201
16-04-2019,2120,2155.949951,2115.550049,2131.800049,1941.058716,5771952
18-04-2019,2149.899902,2155,2114.199951,2150.050049,1957.675903,3413728
22-04-2019,2148,2176,2145.600098,2161.449951,1968.055664,2007135
23-04-2019,2163,2165.5,2134.050049,2155.050049,1962.228638,2163524
24-04-2019,2158,2195,2156.100098,2183.449951,1988.08667,3003071
25-04-2019,2175,2205,2168.050049,2195,1998.604004,4211526
26-04-2019,2203,2243.949951,2193.149902,2238.550049,2038.256836,2716958
30-04-2019,2238.550049,2266.949951,2230.100098,2260.350098,2058.106934,3488395
02-05-2019,2255,2259.399902,2211.100098,2215.399902,2017.178223,2457699
03-05-2019,2185,2186.050049,2125,2132,1941.240967,3780886
06-05-2019,2110,2165,2108.5,2157.850098,1964.778198,2891422
07-05-2019,2160.050049,2184.350098,2138.800049,2151.949951,1959.405762,2201698
08-05-2019,2151,2168,2130.399902,2152.850098,1960.22522,1824895
09-05-2019,2145,2184.100098,2136.100098,2172.550049,1978.162476,2264162
10-05-2019,2175,2192,2125.850098,2135.800049,1944.700684,2039633
13-05-2019,2133,2167,2121.649902,2128.75,1938.281494,1701744
14-05-2019,2135,2159.800049,2072.350098,2092.350098,1905.138306,2456110
15-05-2019,2097,2124,2084.5,2095.399902,1907.915283,2346876
16-05-2019,2096,2124,2077.050049,2108.75,1920.070801,1946529
17-05-2019,2112.600098,2135,2090,2095.449951,1907.960938,1947908
20-05-2019,2125,2151.399902,2050,2143.949951,1952.12146,2625116
21-05-2019,2148.050049,2148.699951,2102.550049,2109.75,1920.980957,1863157
22-05-2019,2110,2121.949951,2075,2081.75,1895.486816,2595795
23-05-2019,2098,2115.350098,2050,2054.050049,1870.265137,2541294
24-05-2019,2070,2070,2032.25,2048,1864.756592,2274208
27-05-2019,2054.800049,2068.949951,2040.099976,2055.149902,1871.266724,2329820
28-05-2019,2060,2097.5,2045,2073.75,1888.202759,5872979
29-05-2019,2080,2123.699951,2077.100098,2107.550049,1918.978271,3281320
30-05-2019,2123,2156.550049,2114.399902,2146.300049,1954.261475,4971725
31-05-2019,2160,2204.949951,2152.25,2196.550049,2000.015015,4265370
03-06-2019,2201,2247.649902,2185.649902,2242.300049,2041.671265,3682419
04-06-2019,2224,2224,2175,2183.100098,2003.854004,2408658
06-06-2019,2199,2199,2152,2166.100098,1988.250732,3735467
07-06-2019,2174,2189.800049,2142.100098,2181.75,2002.615723,2659446
10-06-2019,2196.699951,2235.850098,2185.5,2231.5,2048.280518,2080593
11-06-2019,2237,2263.949951,2231,2252.800049,2067.831299,3048937
12-06-2019,2245,2266.899902,2219,2260.899902,2075.266357,2404448
13-06-2019,2264,2285,2243.050049,2254.100098,2069.025391,3320916
14-06-2019,2257.25,2263.100098,2234,2254.5,2069.39209,2131408
17-06-2019,2256,2262,2241.449951,2249.199951,2064.526855,1489497
18-06-2019,2244,2260,2231.199951,2250.850098,2066.041748,1877447
19-06-2019,2255,2276,2243.149902,2259.899902,2074.349121,1652817
20-06-2019,2230,2284,2212,2277.949951,2090.916992,2199377
21-06-2019,2285,2292.5,2242,2249.850098,2065.124023,3871804
24-06-2019,2254.149902,2280,2250.800049,2275.5,2088.667236,1382424
25-06-2019,2270,2274.449951,2250.5,2267.800049,2081.600098,1386077
26-06-2019,2265,2266.800049,2250,2254.199951,2069.116943,1762224
27-06-2019,2255,2264,2241.300049,2252.550049,2067.602295,2813464
28-06-2019,2260,2261.949951,2222.5,2227.199951,2044.333496,2372928
01-07-2019,2235,2255,2206.600098,2239.550049,2055.669434,2769940
02-07-2019,2244.899902,2257,2216.449951,2252.100098,2067.188965,1771746
03-07-2019,2252.199951,2258.800049,2232,2237.649902,2053.925293,1656881
04-07-2019,2234,2252,2230.100098,2242.649902,2058.514893,984140
05-07-2019,2247,2250,2140,2163.100098,1985.496582,4088470
08-07-2019,2149,2188.800049,2132.100098,2175.399902,1996.786743,2788062
09-07-2019,2174,2174.399902,2104.550049,2133.350098,1958.188599,3977224
10-07-2019,2080,2127.850098,2071.300049,2108.199951,1935.104126,6343581
11-07-2019,2128,2129,2086.050049,2102.550049,1929.918091,2400346
12-07-2019,2102.100098,2119.75,2093.100098,2107.600098,1934.553467,1560725
15-07-2019,2125,2153.600098,2098,2145.699951,1969.524902,2900415
16-07-2019,2126,2132.5,2100,2106,1937.599976,2735399
