Date,Open,High,Low,Close
19-10-2023,3148.2292,3695.1042,4076.7644,3282.456573
20-10-2023,3147.9094,3695.393,4076.9255,3296.589014
21-10-2023,3147.5913,3695.6753,4077.0808,3282.456573
22-10-2023,3147.275,3695.9507,4077.231,3296.589014
23-10-2023,3146.9592,3696.2205,4077.3757,3282.456573
24-10-2023,3146.6458,3696.4836,4077.5154,3296.589014
25-10-2023,3146.333,3696.7412,4077.65,3282.456573
26-10-2023,3146.0222,3696.9922,4077.7805,3296.589014
27-10-2023,3145.7124,3697.238,4077.9055,3282.456573
28-10-2023,3145.4045,3697.4785,4078.0273,3296.589014
29-10-2023,3145.0974,3697.713,4078.1445,3282.456573
30-10-2023,3144.7925,3697.942,4078.2576,3296.589014
31-10-2023,3144.4883,3698.166,4078.3665,3282.456573
01-11-2023,3144.186,3698.385,4078.4724,3296.589014
02-11-2023,3143.8853,3698.5989,4078.574,3282.456573
03-11-2023,3143.5854,3698.8083,4078.672,3296.589014
04-11-2023,3143.2874,3699.0125,4078.7676,3282.456573
05-11-2023,3142.991,3699.2117,4078.859,3296.589014
06-11-2023,3142.6953,3699.4067,4078.9473,3282.456573
07-11-2023,3142.4014,3699.5974,4079.0327,3296.589014
08-11-2023,3142.109,3699.7832,4079.115,3282.456573
09-11-2023,3141.8179,3699.9653,4079.195,3296.589014
10-11-2023,3141.5278,3700.143,4079.272,3282.456573
11-11-2023,3141.24,3700.3167,4079.3467,3296.589014
12-11-2023,3140.953,3700.486,4079.4185,3282.456573
13-11-2023,3140.6672,3700.6519,4079.4875,3296.589014
14-11-2023,3140.3833,3700.8142,4079.5547,3282.456573
15-11-2023,3140.1006,3700.9727,4079.6194,3296.589014
16-11-2023,3139.8193,3701.1272,4079.6816,3282.456573
17-11-2023,3139.5393,3701.278,4079.7422,3296.589014
18-11-2023,3139.2603,3701.4255,4079.8005,3282.456573
19-11-2023,3138.9834,3701.57,4079.8564,3296.589014
20-11-2023,3138.7073,3701.7112,4079.9106,3282.456573
21-11-2023,3138.4326,3701.8486,4079.9634,3296.589014
22-11-2023,3138.1597,3701.983,4080.0134,3282.456573
23-11-2023,3137.8877,3702.1147,4080.0627,3296.589014
24-11-2023,3137.6165,3702.243,4080.11,3282.456573
25-11-2023,3137.3472,3702.3682,4080.1555,3296.589014
26-11-2023,3137.0793,3702.4915,4080.1992,3282.456573
27-11-2023,3136.8123,3702.611,4080.2417,3296.589014
28-11-2023,3136.547,3702.728,4080.283,3282.456573
29-11-2023,3136.2827,3702.8423,4080.3225,3296.589014
30-11-2023,3136.0193,3702.9543,4080.3608,3282.456573
01-12-2023,3135.758,3703.063,4080.398,3296.589014
02-12-2023,3135.497,3703.1694,4080.4336,3282.456573
03-12-2023,3135.2378,3703.2737,4080.4678,3296.589014
